7,315
892024	1761,145,315
892025	1929,315,1440,1394,1439
892026	152,315
892027	378,315,176
892028	315,1282,231
892029	808,250,315,2671,2716,60,747,612,3462
892030	481,315
892031	315,502,2044,2525
892032	44,315,1440,2167,42,502,513
892033	922,685,315,231
892034	223,315
892035	154,1210,315
892036	1408,315
892037	1657,2128,315
892038	315,352,3019,1226,4286,17,1234,250
892039	676,797,315
892040	378,76,315
892041	315,188,910,667,436,128,5
892042	955,315
892043	146,143,315
892044	106,315
892045	797,44,315
892046	37,315
892047	61,315
892048	1373,2716,315
892049	315,152,41
892050	3053,315,206,63,112,89
892051	127,262,2060,1120,315,3030,240,267,905,475,254,157,411,171,397,81,539,46,1006,387,1233,1335,14,918,15,17,67,485,45,351,452,102,53,1409,2693
892052	2970,315
892053	1111,511,315
892054	793,350,315
892055	315,307,568,539,956
892056	315,568,146,478,88,421
892057	1030,315
892058	45,315,276,2159,264,241,77,154,497,143,3547,502,2558
892059	801,3942,315,1086,169,432,956,177
892060	88,539,315
892061	94,315
892062	315,231
892063	315,223,87,169,440,27
892064	315,412,104,229,343,125,405
892065	539,315
892066	1102,505,164,188,90,223,391,68,452,2359,315,15,107,187,143,520,717,627
892067	1574,315
892068	14,315,292,146,2844,169
892069	132,315
892070	2033,592,315,307,107,228,27
892071	34,191,315
892072	35,85,164,1999,90,619,315,2019,221,88
892073	315,216,200
892074	451,315,149,520,2973
892075	315,307,128,2171,169
892076	154,315
892077	94,315,246,576
892078	88,315
892079	321,315
892080	223,315
892081	728,76,315
892082	922,17,268,315
892083	93,315
892084	315,818,2802,806,84
892085	1063,605,56,592,770,315,922,128,228,841
892086	38,315
892087	1835,122,315,179,2213,1226,133,65,373,481,1513,1259,865
892088	35,233,205,315,4441,2138,230,19,477
892089	223,315
892090	90,666,94,315
892091	176,315,588,1654,27,1265
892092	315,876
892093	2078,315
892094	378,911,102,315
892095	315,1377,155,204
892096	216,315
892097	1030,177,315,720
892098	1030,315
892099	5,871,315
892100	774,315
892101	86,315
892102	246,315
892103	718,315
892104	612,315
892105	361,45,49,1063,2348,394,315,1085,107,93,2234,37,3661,535
892106	4058,279,143,315
892107	246,315
892108	612,315
892109	538,1061,593,315
892110	315,828
892111	97,204,94,315,624,1758,316,325
892112	188,943,748,315
892113	728,315
892114	3622,315
892115	315,171,79,76,493
892116	128,315
892117	340,315
892118	35,315,708,728,539
892119	538,315,2586,116,452,67,479,478,588,2673,176
892120	315,176
892121	308,204,315,2136,2617,2513,539,76,450,956,1528,2076
892122	718,315,568,87,38,783,337,88,51,725
892123	717,315
892124	315,339,176
892125	666,315
892126	455,315,421,128,177,535
892127	315,89
892128	94,315,176
892129	315,4000
892130	154,315
892131	2716,315
892132	530,234,630,315
892133	530,315
892134	315,176
892135	228,56,315,176
892136	29,413,716,315,546,210,1982
892137	53,315
892138	807,315
892139	797,1210,315
892140	315,720
892141	228,56,1838,315
892142	2673,315
892143	81,315
892144	14,265,53,315
892145	889,1932,315
892146	85,315
892147	315,1999,2019,221,176
892148	521,315
892149	315,122
892150	315,1282,128,231
892151	216,315,922,2839,88
892152	717,315
892153	1368,315
892154	1789,36,93,315
892155	510,592,315
892156	537,315,143,88,169
892157	93,315
892158	7,3904,315
892159	292,497,131,315
892160	315,1830
892161	832,2197,315
892162	676,1797,315,207,1975,825,461,84,1256,337,510
892163	85,614,720,568,315,334,173,535
892164	269,315
892165	46,315
892166	315,1423,43,228,27
892167	2601,315
892168	315,107,881
892169	68,315
892170	176,592,44,315,207,223,103,246,1111,76,128,502,535
892171	109,873,2643,2199,315,2937,357,479,327,502,416,2101,2288
892172	356,315
892173	45,978,375,315,188,2639,1328,68,76,485
892174	339,315
892175	519,838,315,622,51
892176	88,314,315
892177	2673,315
892178	2279,315
892179	848,460,315
892180	49,315,146,38,88,93,361,2119,99,2839,241,971,173,273,520,1723,609,169,44,1193,87,918,261,568,462,258,557,252
892181	315,216,1096
892182	592,315,707,88,249,421
892183	705,315
892184	1030,93,315
892185	63,315
892186	612,315
892187	1677,315,122,231,907
892188	315,311
892189	211,315,326,246,249
892190	1999,315,192,535
892191	378,315
892192	96,977,330,818,120,315,1436,2553,1113,674,3082,137,110,40
892193	14,315
892194	315,246,176
892195	315,160,828
892196	45,308,455,315,1577,471,241,17,3188,155,911,76,86,1068,60,48,176
892197	539,315
892198	4441,315
892199	1210,315
892200	955,315
892201	269,101,276,315
892202	2359,315
892203	592,315,728,1046,1473
892204	315,257
892205	592,315,307,825,452,579,17,511,1057
892206	390,315
892207	3419,315
892208	223,315
892209	49,92,315,328,60,3349,273
892210	315,535,1771
892211	844,315
892212	315,1054,965,176
892213	1239,315
892214	14,315,236,53,192,1982,93,89
892215	122,315,667,588,535
892216	226,626,315,666,366,558,76,169
892217	315,231
892218	1765,315
892219	302,214,315
892220	3061,315,307,1226,497,440,143,2073
892221	1132,315,38,93,215,35,455,441,95,206,46,143,1282,169,720,188,257,37,505,276,154,192,41,177,421
892222	413,497,192,315
892223	315,17,478,236,177,93
892224	177,315
892225	1256,592,169,315
892226	955,315
892227	207,133,315
892228	14,315
892229	2802,519,315
892230	315,171,339,58,76,86
892231	398,315
892232	315,825,548,192,584
892233	35,90,315
892234	90,315,93,176
892235	2716,315
892236	53,315
892237	315,25
892238	228,315
892239	270,315
892240	49,315,1244,2575,375,68,65,3560,532,204,15,944,2562,328,1494,656,1770,167,2388
892241	45,844,315,518,217,302,511,325,369,27,899,421
892242	519,315,223,51,169
892243	801,315,204,15,155
892244	1282,222,315
892245	216,717,315
892246	1040,315
892247	315,2716,2673,176
892248	477,315
892249	223,315
892250	307,315
892251	371,315
892252	1932,315
892253	265,169,315
892254	369,315
892255	832,38,315
892256	844,315,891,440,93,250
892257	716,1982,315
892258	315,176
892259	315,337,231
892260	262,315
892261	1100,18,315
892262	595,315,2025,76,38,956,1234
892263	93,315
892264	282,315
892265	44,53,315
892266	53,315
892267	1392,315,4093,881,146,192
892268	955,315
892269	1459,68,315,41
892270	216,315,223,143,88
892271	315,982
892272	315,32,86,205
892273	592,315,231,128,862
892274	315,477,478
892275	307,838,315
892276	341,3224,315
892277	315,257
892278	315,707,46,76,746
892279	315,188,2159,264,241,1243,46,112,2558
892280	302,714,519,315
892281	530,315
892282	2323,396,315,1627,42,176,808,2264,832,46,72,477,204,188,17,1377,288,518,103,41,167,19,27
892283	162,315,563,726,1711,41
892284	2316,315
892285	4496,315
892286	14,315
892287	379,315
892288	315,56,231
892289	315,110,117,82
892290	702,315
892291	56,663,491,592,731,315,955,38,128,2579,169
892292	922,315
892293	215,35,537,811,315,390,497,640,241,38,1075,176
892294	315,231
892295	568,95,315
892296	390,710,315
892297	749,315,598,693,369,634
892298	728,315
892299	339,315
892300	577,315
892301	223,315
892302	276,77,264,315
892303	74,315
892304	307,389,592,315
892305	378,315
892306	78,169,315
892307	68,315
892308	160,315,90,2683,223,568,158,154,53,98,177,66
892309	519,315
892310	2891,2908,315
892311	545,491,315,2899,1143,1771,76,1982,1902,405
892312	452,315
892313	88,387,315
892314	2579,315
892315	315,51,838,231
892316	1335,810,315,15,17,539,88,251
892317	1063,315,1982,41,242
892318	315,982
892319	302,316,315
892320	315,176
892321	38,315
892322	315,2857,377,2673,176
892323	76,315
892324	692,315
892325	390,337,169,315
892326	315,3220,2716,231
892327	539,315
892328	315,518,152,797,27
892329	315,89
892330	330,422,315
892331	315,84,152,539,257
892332	922,315
892333	538,38,315
892334	315,231,3058
892335	516,315
