52,646,937,246,5
2041262	90,418,4037
2041263	326,4037,439
2041264	4037,1546
2041265	148,4037
2041266	101,4037,326,145,460,367,916,343
2041267	1210,4037,128
2041268	4037,106
2041269	4037,140,311
2041270	326,4037,439,343
2041271	4037,326,367,265,343
2041272	4037,856
2041273	4037,419
2041274	3116,4037,724,343,4
2041275	2111,4037
2041276	101,4037
2041277	4037,2,326,355,2579
2041278	210,101,4037,367
2041279	326,4037
2041280	101,4037,326,724,367,343,3357,4,2396
2041281	4037,311
2041282	326,4037,343,2366
2041283	3313,4037,246
2041284	367,4037,343
2041285	3801,1535,2120,4037
2041286	326,4037,2366
2041287	3313,4037,2366,326,439
2041288	3116,4037
2041289	413,139,4037,174,212,919
2041290	4037,320,555,326,439
2041291	4037,2366,330,555,326,439,367,343,1636
2041292	605,125,4037,3873
2041293	3357,4037
2041294	326,4037,258,2366
2041295	3014,4037,2366,2839,326,724,311
2041296	101,224,4037,160,497,367,343
2041297	224,4037,1451,2839,724,527,311,2396
2041298	4037,439
2041299	4037,2366,2111,555,326,893
2041300	326,4037
2041301	101,4037,326,439,402,367,343,1257
2041302	1296,3079
2041303	844,728,462,1296,228
2041304	481,1259,1296
2041305	46,1296,396
2041306	1975,1428,1360,1296,228
2041307	342,1296
2041308	1296,86
2041309	3920,2006,1296,952
2041310	2173,1296
2041311	778,1296
2041312	1453,155,1296,86
2041313	262,2012,1296
2041314	710,1296
2041315	266,1296,2448,242,671
2041316	1917,1296
2041317	808,350,9,375,204,159,155,926,1296,86,325,260,157
2041318	222,1296,531
2041319	1296,396
2041320	2043,460,688,67,76,1296,938
2041321	56,748,429,218,223,95,17,539,1296,673,228,51
2041322	289,58,222,1296
2041323	502,38,1296,599
2041324	1317,396,1191,1296,1642
2041325	68,640,1296,891
2041326	2161,2499,1296
2041327	51,1296
2041328	46,1296
2041329	369,491,1296,176
2041330	68,1296,246,176
2041331	51,1296
2041332	409,79,1296,86,2122
2041333	2506,350,531,219,375,68,1296,32,627
2041334	1031,858,779,306,814,1296,1549
2041335	1224,775,1479,1296
2041336	488,2550,1692,1296
2041337	2459,1296
2041338	502,204,1296,1265
2041339	491,467,390,152,46,38,143,3763,1296,53,51,222
2041340	38,1296
2041341	1296,838
2041342	74,1296,97,41
2041343	1507,1224,1566,2647,1965,1296,745,1354,1361
2041344	204,188,68,1296,1234
2041345	531,929,1296,86
2041346	46,1296
2041347	651,1296,366
2041348	1574,1296
2041349	323,350,366,1296,651
2041350	174,1296
2041351	4415,1296,691
2041352	1296,3
2041353	1755,1296
2041354	568,51,1296
2041355	2247,1296
2041356	307,1296
2041357	2521,1296,1206
2041358	46,146,1296,1265
2041359	1354,418,222,1296
2041360	79,1296
2041361	1886,1296
2041362	808,1296
2041363	15,87,1296
2041364	1296,691
2041365	418,1802,1296
2041366	300,18,183,1296,2559,1320
2041367	17,46,1296,204
2041368	4398,396,1296,501
2041369	778,1426,935,418,1296,75,1361,691
2041370	838,1643,396,1296,1234,627
2041371	314,1296,1149
2041372	1107,325,1296,696,86
2041373	14,396,188,218,1577,46,152,1296,236,27
2041374	49,46,1296,272
2041375	808,68,155,1296,1229,41,32,499
2041376	529,1296,354,392,600,691
2041377	1414,109,726,1296
2041378	46,1296,396
2041379	363,375,68,15,152,1296,1054
2041380	46,1296,396
